station_code,lat,lng,old_district,old_province,new_district,new_province,region,technician
C.GLA0188,14.490997,109.083366,Hoai Nhon,Bình Định,Phường Hoài Nhơn Đông,Tỉnh Gia Lai,Tây Nguyên,Bình Định
C.PTH0230,21.4473,105.244576,Phu Tho,Phú Thọ,Phường Phong Châu,Tỉnh Phú Thọ,,
C.HCM1262,10.97303,106.667198,Thu Dau Mot,Bình Dương,Phường Thủ Dầu Một,Thành phố Hồ Chí Minh,KV không quản lý,Bình Dương
C.HNO1934,21.000622,105.731834,Hoai Duc,Hà Nội	,Xã An Khánh,Thành phố Hà Nội,,
C.LDO0159,11.948861,108.437225,Da Lat,Lâm Đồng,Phường Xuân Hương - Đà Lạt,Tỉnh Lâm Đồng,LDO-BTH,Nguyễn Hải Nguyên
C.NAN0240,19.051155,104.876335,Con Cuong,Nghệ An,Xã Con Cuông,Tỉnh Nghệ An,,
C.HTI0183,18.271059,105.901985,Thach Ha,Hà Tĩnh,Xã Thạch Xuân,Tỉnh Hà Tĩnh,,
C.HTI0184,18.36854,105.894615,Ha Tinh,Hà Tĩnh,Phường Trần Phú,Tỉnh Hà Tĩnh,,
C.QNI0299,21.008814,107.250618,Cam Pha,Quảng Ninh,Phường Quang Hanh,Tỉnh Quảng Ninh,,
C.HPH0360,20.72398,106.569336,Tien Lang,Hải Phòng,Xã Tiên Minh,Thành phố Hải Phòng,,
C.LDO0165,11.584987,107.360519,Cat Tien,Lâm Đồng,Xã Cát Tiên,Tỉnh Lâm Đồng,LDO-BTH,Nguyễn Hải Nguyên
C.HCM1269,10.964183,106.545815,Cu Chi,Ho Chi Minh,Xã Củ Chi,Thành phố Hồ Chí Minh,HCM,Võ Anh Ngọc
C.CBA0055,22.772562,106.505798,Trung Khanh,Cao Bằng,Xã Đoài Dương,Tỉnh Cao Bằng,,
C.HNO1901,20.840654,105.630653,Chuong My,Hòa Bình,Xã Trần Phú,Thành phố Hà Nội,,
C.HNO5068,9.333335,103.333336,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5070,21.03038,105.890152,Long Bien,Hà Nội	,Phường Long Biên,Thành phố Hà Nội,,
C.HNO5072,21.033524,105.948463,Gia Lam,Hà Nội	,Xã Gia Lâm,Thành phố Hà Nội,,
C.HNO5073,21.002609,105.939003,Gia Lam,Hà Nội	,Xã Gia Lâm,Thành phố Hà Nội,,
C.HNO5077,21.169806,106.053627,Bac Ninh,Bắc Ninh,Phường Võ Cường,Tỉnh Bắc Ninh,,
C.HNO5090,20.961941,105.766022,Ha Dong,Hà Nội	,Phường Kiến Hưng,Thành phố Hà Nội,,
C.HNO5095,9.333362,103.333359,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5097,20.975332,105.772171,Ha Dong,Hà Nội	,Phường Hà Đông,Thành phố Hà Nội,,
C.HNO5101,21.161383,105.725967,Me Linh,Hà Nội	,Xã Mê Linh,Thành phố Hà Nội,,
